CPU_Mean,PackRecv_Mean,PodsNumber_Mean,StressRate_Mean
9.17518203631699,12.2319027363921,9,19
9.38013990134456,12.5495518384361,10,21
8.62754801248554,11.1662579513331,11,21
8.78067926185319,10.6448402595206,12,21
7.77384661027889,9.76961208547782,13,21
7.80640891776798,9.07329719648708,14,21
7.08693232895473,8.2990016225631,15,21
7.12708062323257,7.86554699685696,16,21
6.67870572686362,7.35525422326302,17,21
5.97903020255118,6.98857398478044,18,21
6.00763712998666,6.42522567175293,19,21
48.4122010503033,123.183119261757,1,21
5.64007342793752,6.20096137991242,20,21
36.806632577768,63.7436847120103,2,21
23.8076334396583,42.3057613658996,3,21
17.5986303691665,31.3126593774977,4,21
14.5097390918751,24.4688060652421,5,21
13.8338244744417,19.9875673771899,6,21
11.9448503723673,17.6511978640193,7,21
10.6217918261271,15.3187399585683,8,21
10.2071201304083,14.3560767693586,9,21
10.560327631907,13.7752321270379,10,23
9.76165381232508,12.5623347882163,11,23
9.48607057016707,11.0866713698265,12,23
8.55855917945595,10.2053733619298,13,23
8.24878685666083,9.64021965483018,14,23
8.1751199526864,9.21241791166068,15,23
7.48194753408311,8.48736620637294,16,23
7.15015370822901,7.89573556251299,17,23
6.99054793437552,7.53978521634451,18,23
6.24764602537656,7.16599836624126,19,23
56.3374811360527,131.227863292973,1,23
6.06867921110004,6.94471585198018,20,23
39.2798743235505,68.3663479021384,2,23
24.2068809796642,45.8587212151202,3,23
20.0407993612372,34.169359424863,4,23
15.6513036340112,26.6252484878935,5,23
14.2180528704993,22.8737803937381,6,23
13.3675232363137,19.8205636438188,7,23
11.4910664202225,17.4313630659725,8,23
10.9519033709964,15.2389631946598,9,23
10.8276489825186,14.709178200767,10,25
11.0246297300623,13.7423139880659,11,25
9.46560418298883,12.2629787555905,12,25
8.8203025622778,11.3970958170752,13,25
8.49851671591856,10.7400376143213,14,25
8.26948061092686,9.88055053850965,15,25
8.02991797965823,9.31364646286971,16,25
7.62662685488467,8.73986901402138,17,25
7.87179084580174,8.50970367458681,18,25
7.13047014590354,7.97414291920609,19,25
62.9660473978009,150.396017599224,1,25
6.59270118748373,7.38619199360176,20,25
42.8170627837733,73.7047820332518,2,25
27.6598721063329,49.254502580029,3,25
20.9081716903437,38.3865792179078,4,25
16.8035197650758,29.4569204194086,5,25
15.1483009317941,24.4621593248649,6,25
14.1155174614547,21.4262779692188,7,25
12.403332206368,18.4472347919565,8,25
11.3868503614097,16.4962515714233,9,25
11.5345931842961,16.1070658334239,10,27
10.3569707540817,14.5914711911518,11,27
10.1577635601841,13.3314996367603,12,27
9.23349031234452,12.0164594100176,13,27
9.01963563771401,11.8960532481289,14,27
8.37551400039882,10.679674495168,15,27
8.62890985738156,9.94951975444438,16,27
8.1325487677164,9.67874175556093,17,27
7.93287654508573,8.90773763366153,18,27
7.32772012069117,8.40041241303409,19,27
63.0142039788468,163.897538829019,1,27
6.86956211691384,8.03626941330748,20,27
43.7947902778523,77.3111268235042,2,27
29.0520341694613,54.3603628130423,3,27
22.0946339241226,39.9055208545856,4,27
18.1878910261881,31.6179414231075,5,27
16.3623528184107,26.27256981164,6,27
15.3253208459602,23.114903887088,7,27
12.1791726463187,19.8830388864559,8,27
12.4749012507659,17.868017596306,9,27
12.164008773151,17.2998455724252,10,29
10.9371382088038,15.7252950821798,11,29
10.0975987983106,14.5959314675021,12,29
9.91887264497713,13.1061497872621,13,29
9.21232341159487,12.3912795393461,14,29
8.97952616699838,11.2857813646575,15,29
9.04437698550015,10.8190362740444,16,29
8.61185958448274,10.1084207539214,17,29
7.93980928953773,9.54522115121112,18,29
7.47597965464727,9.00510286405007,19,29
65.2291427059195,170.691718886561,1,29
7.25310806819768,8.54902007698695,20,29
43.6128815109071,86.8580716117661,2,29
31.4961276273648,57.8201265153402,3,29
22.4868197956539,43.0768327940361,4,29
19.3086346799943,35.1077097070879,5,29
17.3621002506092,29.6090605871017,6,29
15.0899598159487,24.7634200061834,7,29
13.3616770948013,21.7225970472612,8,29
12.4950598568874,19.1660687846383,9,29
12.2131282410298,18.2745558825295,10,31
11.5812686422902,16.8909066821443,11,31
11.0165492952406,15.2332742877151,12,31
10.3191573980301,14.1755528885864,13,31
9.84400648456479,12.9301714597341,14,31
9.83050239418321,12.609653704819,15,31
9.21001521106892,11.3588207071719,16,31
9.44692358183106,10.8209062016994,17,31
8.64060809182484,10.3305816211245,18,31
7.94317527167595,9.41471200902511,19,31
68.023803951764,189.733732064952,1,31
8.07492175552478,9.25935149533279,20,31
47.1818323946405,93.120069522227,2,31
34.8447109180974,61.4870161035285,3,31
25.0368891055264,47.0075314899683,4,31
20.0887088734084,36.6919390183538,5,31
18.0036027834417,30.9242560766963,6,31
15.7853427465524,26.3978510480975,7,31
13.9403797310478,22.8095363946767,8,31
13.6085282045018,20.1399713903831,9,31
13.5164647045967,19.9352727986555,10,33
12.3354525139081,17.5974661265347,11,33
11.2370135046542,16.3518049420634,12,33
10.6220237196747,15.1358081672311,13,33
10.0276461779948,14.1155749729707,14,33
10.5794239635639,13.1214413838611,15,33
10.7219605855912,12.0033816826279,16,33
10.7581055782133,11.308316414996,17,33
8.85787904745707,10.908199551206,18,33
8.22896668681456,10.0898368647697,19,33
72.5741612125318,196.863611064057,1,33
8.11240436851542,9.95993805146045,20,33
45.1673660942305,97.2339293311293,2,33
34.3193764385728,63.8627776545607,3,33
26.7949530935367,48.6577564341067,4,33
21.1377494608953,39.1358649373888,5,33
18.2285729854014,31.5414970582695,6,33
17.7918076201123,28.0715550493682,7,33
15.0278603726708,24.7672389042323,8,33
14.0922008850397,21.3158591384634,9,33
12.8241461174848,20.5713001725623,10,35
12.5304531905427,18.6470992378493,11,35
11.7834549252263,17.2702504242109,12,35
11.0386802332514,15.6694409749322,13,35
10.4726239277354,14.6781434146683,14,35
10.2556221881525,14.0196498064767,15,35
10.5188385170597,13.0899048338588,16,35
9.78287402427711,12.0947671733955,17,35
9.49809213460967,11.7840647390727,18,35
8.96408688745386,10.8658204692507,19,35
79.0912276813503,209.1948743173,1,35
8.55186962026956,10.6379354940264,20,35
49.0830279318315,106.918151430494,2,35
36.8657477652228,69.9057999981819,3,35
27.6651784349601,52.4946458066644,4,35
22.3595984095586,42.0914048020651,5,35
19.3747825603325,34.6498367096353,6,35
17.6340615058797,28.2544273951374,7,35
16.5273001526412,26.107633915069,8,35
14.5888983864047,23.1296271341443,9,35
14.3440577273014,21.9358648701168,10,37
13.3374578437045,20.4502876926612,11,37
12.6853998053717,18.2620478685242,12,37
12.2452709267412,17.4022791081886,13,37
11.1135571441333,15.8125950923162,14,37
11.3422297851379,14.6841979938412,15,37
10.3384396721463,13.8618554069086,16,37
10.552773349108,12.982429694181,17,37
9.53031112743539,12.047397931093,18,37
9.05074786130245,11.5272466769969,19,37
78.9985309279435,221.286762240029,1,37
8.5439087743819,10.8546820915866,20,37
57.3762412597705,111.030673886889,2,37
39.7349603604203,72.5818553924513,3,37
28.2126229826647,55.2834858411843,4,37
25.4978956593507,44.2336636611851,5,37
20.6588531774813,36.5659521185132,6,37
18.0750679549663,31.2243465480036,7,37
16.3255393601389,27.4275865096997,8,37
14.5074810633128,24.3635568875848,9,37
14.8691833131451,23.4870442509126,10,39
